english,thai,pos
determined,ตั้งใจแน่วแน่,adjective
aboard,บนพาหนะ-บนเรือ/เครื่องบิน,preposition/adverb
treason,การกบฏ,noun
concern,ความกังวล-เกี่ยวข้อง,noun/verb
expelled,ถูกขับไล่,adjective
consequence,ผลลัพธ์,noun
immune,มีภูมิคุ้มกัน,adjective
manufactured,ผลิต,verb
inadequate,ไม่เพียงพอ,adjective
compilation,การรวบรวม,noun
provide,จัดหาให้,verb
afflicted,ได้รับความทุกข์,adjective
fatigue,ความเหนื่อยล้า,noun
succumbing,ยอมจำนน-พ่ายแพ้,verb
involve,เกี่ยวข้อง,verb
minister,รัฐมนตรี,noun
abundant,อุดมสมบูรณ์,adjective
accomplish,ทำให้สำเร็จ,verb
acknowledge,ยอมรับ,verb
adapt,ปรับตัว,verb
adequate,เพียงพอ,adjective
alleviate,บรรเทา,verb
ambiguous,กำกวม,adjective
analyze,วิเคราะห์,verb
anticipate,คาดหวัง-คาดการณ์,verb
articulate,พูดชัดเจน-สื่อสารได้ดี,verb/adjective
assert,ยืนยันอย่างมั่นใจ,verb
astonish,ทำให้ประหลาดใจ,verb
beneficial,เป็นประโยชน์,adjective
collapse,พังทลาย-ล้มเหลว,verb
comprise,ประกอบด้วย,verb
contemplate,ครุ่นคิด,verb
crucial,สำคัญมาก,adjective
derive,ได้มา-สืบทอดมา,verb
deteriorate,เสื่อมลง,verb
devote,อุทิศตน,verb
diminish,ลดลง,verb
elaborate,ละเอียด-ซับซ้อน,adjective
emphasize,เน้นย้ำ,verb
encounter,เผชิญหน้า,verb
endeavor,ความพยายามอย่างหนัก,noun/verb
enhance,เพิ่มพูน-ปรับปรุง,verb
fluctuate,ผันผวน,verb
hypothesis,สมมติฐาน,noun
inevitable,หลีกเลี่ยงไม่ได้,adjective
meticulous,พิถีพิถัน,adjective
notion,แนวคิด-ความเชื่อ,noun
preliminary,เบื้องต้น,adjective
resilient,ฟื้นตัวได้เร็ว,adjective
substantial,มากมาย-มีนัยสำคัญ,adjective
vulnerable,เปราะบาง,adjective
association,สมาคม-การเชื่อมโยง,noun
